HSHD_NUM,HH_KEY,ACCOUNT_KEY,HEAD_OF_HH,CITY,STATE,ZIP_CODE,AGE_RANGE
2506,70201015,159198511,N,BLOOMINGTON,IN,47408,35-44
2339,17384316,159198284,N,CHARLESTON,WV,25314,35-44
2559,74523520,159198683,N,TROY,OH,45373,65-74
4984,18729129,159198741,N,SUNBURY,OH,43074,NOT AVAILABLE
1162,2876791,159198392,N,FT THOMAS,KY,41075,45-54
4065,77418567,159198350,N,GROSSE ILE,MI,48138,45-54
1769,882624,159198407,N,DAYTON,OH,45429,65-74
3970,16278435,159217886,N,CINCINNATI,OH,45239,45-54
781,80249653,159218056,N,WAYNESVILLE,OH,45068,45-54
4025,341128,159219347,N,COLUMBUS,OH,43221,55-64
4191,18726617,159219392,N,COLUMBUS,OH,43227,35-44
3742,18584823,159219511,N,FRANKLIN,TN,37064,55-64
3093,74078926,159220718,N,WINFIELD,WV,25213,NOT AVAILABLE
817,6210906,159242445,N,ETNA,OH,43068,35-44
414,75697876,159220900,N,INDIANAPOLIS,IN,46222,45-54
442,6381114,159239794,N,CONNERSVILLE,IN,47331,55-64
1943,18409955,159240171,N,DAYTON,KY,41074,45-54
2744,75338398,159241531,N,MEMPHIS,TN,38122,55-64
166,74749358,159240698,N,MISHAWAKA,IN,46545,35-44
3043,8105367,159242505,N,COLUMBUS,OH,43232,45-54
3284,80344126,159243029,N,NASHVILLE,TN,37211,35-44
4937,17642927,159243049,N,FRANKLIN,TN,37069,75+
1120,151651,159243202,N,LEXINGTON,KY,40505,55-64
3397,80237495,159245696,N,PORTSMOUTH,OH,45662,75+
3887,77095001,159245702,N,SOUTH CHARLESTON,WV,25303,45-54
1536,74485245,159246240,N,BOSSIER CITY,LA,71111,45-54
925,7530874,159238797,N,BATAVIA,OH,45103,55-64
3393,80251324,159239254,N,NASHVILLE,TN,37216,19-24
745,80095616,159238854,N,LAWRENCEVILLE,GA,30044,65-74
3252,73902403,159239422,N,LOUISVILLE,KY,40245,45-54
4691,191446,159239435,N,FORT THOMAS,KY,41075,NOT AVAILABLE
4269,653151,159239427,N,CINCINNATI,OH,45212,45-54
4395,75015442,159239553,N,HUNTINGTON,WV,25704,55-64
791,18524142,159259114,N,PLEASUREVILLE,KY,40057,NOT AVAILABLE
1526,4877425,159259118,N,LOUISVILLE,KY,40218,45-54
1803,72007235,159259567,N,CINCINNATI,OH,45244,65-74
1621,77926666,159260324,N,LA SALLE,MI,48145,45-54
4747,75202798,159260368,N,TOLEDO,OH,43609,45-54
1827,77418215,159260377,N,TOLEDO,OH,43612,35-44
860,10034716,159260439,N,HENDERSONVILLE,TN,37075,45-54
500,6747403,159260516,N,NASHVILLE,TN,37215,65-74
3202,2643019,159260548,N,LEXINGTON,KY,40508,65-74
2392,14968651,159262232,N,CENTERVILLE,OH,45458,75+
2884,17908499,159260721,N,FRANKFORT,KY,40601,65-74
3860,74080176,159261452,N,CLARKSTON,MI,48348,NOT AVAILABLE
494,16217645,159262033,N,OWENSBURG,IN,47453,NOT AVAILABLE
1500,78380176,159258561,N,MAINEVILLE,OH,45039,35-44
3912,80236650,159263661,N,SANDUSKY,OH,44870,35-44
2371,6117443,159278936,N,ERLANGER,KY,41018,65-74
2350,16320293,159279039,N,FAIRFIELD,OH,45014,55-64
1397,15227354,159279970,N,CASSOPOLIS,MI,49031.0,45-54
625,8065387,159281026,N,GROVE CITY,OH,43123,45-54
3891,5400263,159281086,N,CANAL WINCHESTER,OH,43110,45-54
4363,80374106,159281264,N,DEFIANCE,OH,43512,45-54
1708,80246284,159282401,N,ROSWELL,GA,30076,35-44
3541,76029506,159284376,N,SPRINGFIELD,OH,45504,65-74
1368,75317497,159284100,N,LOUISVILLE,KY,40272,45-54
3160,17916534,159284357,N,SPRINGFIELD,OH,45506,55-64
3072,77227584,159284407,N,BELLEFONTAINE,OH,43311,45-54
1764,12063276,159284450,N,VANDALIA,OH,45377,45-54
37,3600105,159278526,N,ALLEGAN,MI,49010,65-74
788,76884448,159278213,N,GREENWOOD,IN,46143,55-64
1480,6199524,159278573,N,SPRING HILL,TN,37174,75+
3094,76436941,159278613,N,BATESVILLE,IN,47006,55-64
3692,8170419,159303439,N,CINCINNATI,OH,45211,45-54
1866,4773090,159303811,N,MAINEVILLE,OH,45039.0,45-54
1900,76140506,159308855,N,GREENFIELD,OH,45123,NOT AVAILABLE
2752,5421981,159304103,N,JEFFERSONVILLE,IN,47130,55-64
3367,77220149,159305328,N,SOUTH BEND,IN,46619,35-44
1018,75447673,159308154,N,MILAN,MI,48160,45-54
293,4407824,159307974,N,INDEPENDENCE,KY,41051,65-74
2945,17371728,159309284,N,INDIANAPOLIS,IN,46203,55-64
2052,70375386,159302577,N,JAMESTOWN,IN,46147,45-54
